21:53:56.067,21:53:54.353,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b51200)
21:53:56.092,21:53:54.359,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
21:53:57.012,21:53:55.247,--->,UL DCCH,LTE,LTE measurementReport,Event :  / Serving(-82, -12.0)
21:54:02.081,21:54:00.370,--->,UL DCCH,LTE,LTE measurementReport,Event :  / Serving(-76, -11.0)
21:54:02.367,21:54:00.639,<---,DL DCCH,LTE,LTE rrcConnectionRelease,
21:54:03.017,21:54:01.300,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-78, -10.5), Neighbor(nr-arfcn 658080, pci 705, rsrp -70.0, rsrq -11.0)
21:54:03.210,21:54:01.445,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-80, -11.0), Neighbor(nr-arfcn 658080, pci 705, rsrp -70.0, rsrq -11.0)
21:54:03.436,21:54:01.565,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-81, -10.5), Neighbor(nr-arfcn 658080, pci 705, rsrp -70.0, rsrq -11.0)
21:54:03.506,21:54:01.699,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-80, -10.5), Neighbor(nr-arfcn 658080, pci 705, rsrp -70.0, rsrq -11.0)
21:54:03.639,21:54:01.843,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-78, -10.0), Neighbor(nr-arfcn 658080, pci 705, rsrp -67.0, rsrq -11.0)
21:54:03.768,21:54:01.965,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-77, -10.0), Neighbor(nr-arfcn 658080, pci 705, rsrp -67.0, rsrq -11.0)
21:54:03.885,21:54:02.100,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-77, -10.0), Neighbor(nr-arfcn 174770, pci 620, rsrp -66.0, rsrq -10.5)
21:54:03.886,21:54:02.100,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-77, -10.0), Neighbor(nr-arfcn 658080, pci 705, rsrp -67.0, rsrq -11.0)
21:54:03.956,21:54:02.165,--->,UL DCCH,LTE,LTE measurementReport,Event : A2 / Serving(-77, -10.0)
21:54:04.075,21:54:02.245,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-77, -10.0), Neighbor(nr-arfcn 174770, pci 620, rsrp -66.0, rsrq -10.5)
