17:29:05.238,17:29:22.290,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:29:05.255,17:29:22.300,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:07.548,17:29:24.609,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A5 / Serving(pci 756, ss-rsrp -114.0, ss-rsrq -14.0) / Neighbor(pci 82, ss-rsrp -88.0, ss-rsrq -12.0)
17:29:07.548,17:29:24.609,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A5 / Serving(pci 756, ss-rsrp -114.0, ss-rsrq -14.0) / Neighbor(pci 82, ss-rsrp -95.0, ss-rsrq -13.5)
17:29:07.634,17:29:24.689,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 176910 / SubcarrierSpacing : kHz15 / carrierBandwidth : 52 / frequencyBandList : 5 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:07.732,17:29:24.726,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
17:29:07.732,17:29:24.769,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:07.756,17:29:24.796,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:29:08.818,17:29:25.869,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 82, ss-rsrp -96.0, ss-rsrq -12.5) / Neighbor(pci 214, ss-rsrp -89.0, ss-rsrq -14.0)
17:29:09.042,17:29:26.087,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
17:29:09.736,17:29:26.764,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-89, -11.5), Neighbor(nr-arfcn 648672, pci 82, rsrp -92.0, rsrq -12.0)
17:29:09.966,17:29:27.018,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:10.013,17:29:27.039,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
17:29:10.014,17:29:27.070,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
17:29:10.053,17:29:27.086,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:29:10.091,17:29:27.107,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
17:29:13.698,17:29:30.740,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-93, -15.0)
17:29:13.760,17:29:30.798,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:13.802,17:29:30.821,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
17:29:13.802,17:29:30.821,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:13.803,17:29:30.836,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:29:13.835,17:29:30.881,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
17:29:13.891,17:29:30.946,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-97, -16.5)
17:29:18.899,17:29:35.948,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:29:18.900,17:29:35.955,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:19.027,17:29:36.086,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-99, -19.5)
17:29:22.758,17:29:39.806,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-101, -20.0)
17:29:22.830,17:29:39.874,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:22.869,17:29:39.895,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
17:29:22.869,17:29:39.896,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:22.914,17:29:39.926,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:29:22.946,17:29:39.987,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
17:29:27.984,17:29:45.041,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:29:27.999,17:29:45.048,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:33.086,17:29:50.135,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:29:33.087,17:29:50.142,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:38.393,17:29:55.449,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 82, ss-rsrp -103.0, ss-rsrq -17.0) / Neighbor(pci 236, ss-rsrp -99.0, ss-rsrq -14.0)
17:29:38.448,17:29:55.498,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:38.460,17:29:55.510,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
17:29:38.478,17:29:55.524,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:38.507,17:29:55.546,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:29:38.904,17:29:55.960,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
17:29:38.918,17:29:55.966,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:41.271,17:29:58.318,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 236, ss-rsrp -110.0, ss-rsrq -20.0) / Neighbor(pci 81, ss-rsrp -105.0, ss-rsrq -16.5)
17:29:41.320,17:29:58.371,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:41.352,17:29:58.383,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
17:29:41.353,17:29:58.397,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:41.378,17:29:58.416,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:29:43.055,17:30:00.098,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 81, ss-rsrp -110.0, ss-rsrq -21.5) / Neighbor(pci 236, ss-rsrp -105.0, ss-rsrq -17.0)
17:29:43.093,17:30:00.149,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:43.113,17:30:00.160,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
17:29:43.142,17:30:00.175,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:43.172,17:30:00.206,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
