00:43:24.572,00:43:45.089,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 522, ss-rsrp -98.0, ss-rsrq -11.0) / Neighbor(pci 524, ss-rsrp -90.0)
00:43:24.652,00:43:45.157,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:43:24.717,00:43:45.186,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
00:43:24.740,00:43:45.240,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:43:24.740,00:43:45.255,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:43:40.210,00:44:00.723,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:40.230,00:44:00.744,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:41.492,00:44:02.003,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
00:43:41.511,00:44:02.012,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:42.456,00:44:02.969,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 524, ss-rsrp -117.0, ss-rsrq -13.0) / Neighbor(pci 523, ss-rsrp -106.0)
00:43:42.512,00:44:03.010,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:43:42.564,00:44:03.035,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
00:43:42.590,00:44:03.090,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:43:42.605,00:44:03.112,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:43:45.413,00:44:05.928,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
00:43:45.427,00:44:05.939,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:46.725,00:44:07.227,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:46.734,00:44:07.250,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:47.213,00:44:07.728,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:47.250,00:44:07.749,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:48.240,00:44:08.749,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:48.258,00:44:08.770,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:48.924,00:44:09.435,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:48.933,00:44:09.451,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:50.471,00:44:10.979,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:43:50.485,00:44:10.990,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:50.551,00:44:11.065,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,UL_DATA_ARRIVAL
00:43:50.568,00:44:11.086,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,FAILURE_MSG2_RA_TIMER_EXP
00:43:50.594,00:44:11.107,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:43:50.850,00:44:11.357,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,UL_DATA_ARRIVAL
00:43:50.875,00:44:11.369,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,ABORTED
